UNIT_id,pick_count,delivery_c,count_work,count_live,count_shop,count_play,count_elem,pop_home,pop_work,lon,lat
18018,0.0,0.0,-0.5677014380182307,-0.6419216200490399,-0.5672252249646954,-0.6527215355134798,-0.3774800027377476,-0.872882044415107,-0.872882044415107,1.3919188191510063,1.4976033939932043
18183,0.0,26.0,-0.5677014380182307,-0.5509981539027283,-0.4545956944951041,-0.6527215355134798,-0.4707421201058256,-0.7587633357610345,-0.7587633357610345,-1.313852532876603,1.5649792985144126
18184,0.0,11.0,-0.5398042431058722,-0.3691512216101052,-0.4358241060835055,-0.5308587034762445,-0.3774800027377476,-1.0301548865938286,-1.0301548865938286,-1.2478581096564174,1.5649792985144126
18185,0.0,1.0,-0.5398042431058722,-0.5509981539027283,-0.5672252249646954,-0.6527215355134798,-0.4707421201058256,-1.0509328027353264,-1.0509328027353264,-1.181863686436232,1.5649792985144126
18186,0.0,5.0,-0.5119070481935137,-0.596459886975884,-0.5484536365530969,-0.6527215355134798,-0.4707421201058256,0.7477954146217207,0.7477954146217207,-1.1158692632160463,1.5649792985144126
18187,3.0,39.0,-0.4840098532811552,0.1763895752677641,-0.15425027990952725,-0.40899587143900934,-0.28421788536966963,0.13564603906836276,0.13564603906836276,-1.0498748399958606,1.5649792985144126
18188,0.0,11.0,-0.5398042431058722,-0.1873042893174821,-0.4358241060835055,0.07845545670993138,-0.3774800027377476,-0.7287152724179453,-0.7287152724179453,-0.9838804167756751,1.5649792985144126
18189,0.0,0.0,-0.5677014380182307,-0.6419216200490399,-0.585996813376294,0.2003182887471666,-0.4707421201058256,-1.0678747958968555,-1.0678747958968555,-0.9178859935554895,1.5649792985144126
18190,0.0,7.0,-0.5677014380182307,-0.6419216200490399,-0.5296820481414983,0.32218112078440175,-0.4707421201058256,0.22515090860096862,0.22515090860096862,-0.8518915703353039,1.5649792985144126
18191,0.0,0.0,-0.5677014380182307,-0.6419216200490399,-0.585996813376294,0.8096324489333425,-0.4707421201058256,-0.9566330294777596,-0.9566330294777596,-0.7858971471151183,1.5649792985144126
18192,0.0,4.0,-0.5398042431058722,-0.5509981539027283,-0.4545956944951041,1.1752209450450481,-0.3774800027377476,-1.0314335275871516,-1.0314335275871516,-0.7199027238949327,1.5649792985144126
